,date,cellID,genotype,Cm (pF),RMP (mV),Ina at 0mV (pA),Rs (Mohms),Rin (Mohm),Ih (pA),Ih voltage (mV),M current(pA),M current voltage (mV),c(ulture)/f(ridge)/k(nown),size of neuron,comment,rheobase (pA),rheobase (pA) 500ms,Ih density (pA/pF),Mcurrent density (pA/pF)
18515cell5,18515,cell5,WT,44.4,-68.8,-10086.0595703125,7.2,60.0,"[37.53, -9.4, 82.34, 205.92, 537.17]","[-70, -80, -90, -100, -110]","[749.52, 351.16, 218.13, 37.53]","[-40, -50, -60, -70]",c,l,,3200,,,
18515cell6,18515,cell6,WT,44.8,-68.7,-9074.70703125,6.3,90.0,"[12.64, -0.89, 10.17, 35.54, 60.26]","[-70, -80, -90, -100, -110]","[38.57, 134.12, 58.33, 12.64]","[-40, -50, -60, -70]",c,l,,3120,,,
18515cell8,18515,cell8,WT,56.1,-68.9,-9827.2705078125,6.2,120.0,"[25.24, -18.09, 102.08, 359.31, 633.81]","[-70, -80, -90, -100, -110]","[637.56, 398.57, 182.36, 25.24]","[-40, -50, -60, -70]",f,l,spontaneousfiring,0,,,
18508cell5,18508,cell5,WT,8.6,-46.4,-205.078125,7.7,720.0,"[-26.78, 2.29, -20.51, -24.88, 0.88]","[-70, -80, -90, -100, -110]","[-2.89, 8.23, -24.67, -26.78]","[-40, -50, -60, -70]",u,s,IC wavy,,,,
18507cell3,18507,cell3,WT,16.3,-51.3,-838.0126953125,6.7,1860.0,"[-2.5, -1.31, 0.18, 4.09, 10.83]","[-70, -80, -90, -100, -110]","[0.06, -1.42, -2.8, -2.5]","[-40, -50, -60, -70]",u,s,,,,,
18507cell7,18507,cell7,WT,80.5,-50.0,-10688.4765625,8.1,120.0,"[78.47, 125.6, 207.77, 289.49, 357.37]","[-70, -80, -90, -100, -110]","[9.15, 30.71, 48.57, 78.47]","[-40, -50, -60, -70]",c,l,,,,,
18507cell8,18507,cell8,WT,71.3,-52.2,-6229.8583984375,11.6,70.0,"[471.01, 776.52, 959.73, 1136.38, 1239.52]","[-70, -80, -90, -100, -110]","[23.02, 18.74, 144.75, 471.01]","[-40, -50, -60, -70]",c,l,,,,,
18507cell12,18507,cell12,WT,38.5,-52.9,-455.322265625,9.6,250.0,"[-21.69, 7.14, 9.79, 33.45, 31.86]","[-70, -80, -90, -100, -110]","[29.77, -12.54, -43.17, -21.69]","[-40, -50, -60, -70]",u,l,-63pressure,,,,
18507cell13,18507,cell13,WT,51.0,-56.1,-8521.728515625,7.4,100.0,,,,,u,l,,3220,,,
18507cell15,18507,cell15,WT,48.9,-61.8,-1179.19921875,17.2,20.0,"[17.06, 425.82, 2150.82, 2907.75, 6724.36]","[-70, -80, -90, -100, -110]","[161.73, 103.83, -17.02, 17.06]","[-40, -50, -60, -70]",u,l,lastswpleaky,,,,
18507cell16,18507,cell16,WT,62.4,-47.8,-12270.5078125,5.8,70.0,"[1269.13, 2083.18, 2697.24, 3000.66, 2982.01]","[-70, -80, -90, -100, -110]","[88.42, 67.95, 391.06, 1269.13]","[-40, -50, -60, -70]",u,l,,3280,,,
18502cell6,18502,cell6,WT,44.4,-60.2,-13491.8212890625,5.2,240.0,"[3.0, -22.06, 45.55, 353.15, 2931.09]","[-70, -80, -90, -100, -110]","[84.14, 20.85, -8.86, 3.0]","[-40, -50, -60, -70]",c,l,lastswpleaky,2720,,,
18502cell7,18502,cell7,WT,72.6,-51.9,-14808.349609375,5.0,140.0,"[21.99, 41.68, 60.97, 147.36, 140.96]","[-70, -80, -90, -100, -110]","[61.18, 29.11, 17.58, 21.99]","[-40, -50, -60, -70]",u,l,,,765.0,,
18501cell1,18501,cell1,WT,46.9,-55.1,-6748.6572265625,8.1,170.0,"[140.1, 438.05, 786.03, 1019.92, 1244.63]","[-70, -80, -90, -100, -110]","[44.91, 44.62, 29.93, 140.1]","[-40, -50, -60, -70]",u,l,,,460.0,,
18501cell3,18501,cell3,WT,19.3,-66.5,-682.9833984375,65.8,100.0,"[-65.71, -90.56, 24.16, 156.77, 251.86]","[-70, -80, -90, -100, -110]","[50.98, 25.61, 15.13, -65.71]","[-40, -50, -60, -70]",u,s, ;llo is0.35lhi0.36 ;,,660.0,,
18425cell3,18425,cell3,WT,6.1,-61.4,-2215.576171875,13.9,1120.0,"[2.97, 6.76, 16.12, 23.03, 32.31]","[-70, -80, -90, -100, -110]","[2.48, 1.0, 0.71, 2.97]","[-40, -50, -60, -70]",u,s,multispike,,6.0,,
